2026-06-17 16:41:22 | INFO     | src.models.logistic_regression           | Logistic Regression initialized
2026-06-17 16:41:28 | INFO     | src.models.random_forest                 | Random Forest initialized
2026-06-17 16:41:33 | DEBUG    | src.models.xgboost_model                 | xgboost library found — using XGBClassifier
2026-06-17 16:41:33 | DEBUG    | src.models.xgboost_model                 | Created XGBoost (XGBClassifier): n_estimators=300, lr=0.05
2026-06-17 16:41:38 | DEBUG    | src.models.lightgbm_model                | lightgbm library found — using LGBMClassifier
2026-06-17 16:41:38 | DEBUG    | src.models.lightgbm_model                | Created LightGBM (LGBMClassifier): n_estimators=300, num_leaves=63
2026-06-17 16:45:22 | INFO     | src.data.loader                          | ============================================================
2026-06-17 16:45:22 | INFO     | src.data.loader                          | MODULE M1.1  —  DATASET VALIDATION
2026-06-17 16:45:22 | INFO     | src.data.loader                          | ============================================================
2026-06-17 16:45:22 | INFO     | src.data.loader                          | Loading dataset  : PhiUSIIL_Phishing_URL_Dataset.csv
2026-06-17 16:45:22 | INFO     | src.data.loader                          | File size        : 56.85 MB
2026-06-17 16:45:28 | INFO     | src.data.loader                          | Loaded           : 235,795 rows × 56 columns
2026-06-17 16:45:28 | INFO     | src.data.loader                          | Shape check      : 235,795 rows × 56 columns
2026-06-17 16:45:28 | INFO     | src.data.loader                          | Expected         : 235,795 rows × 56 columns
2026-06-17 16:45:28 | INFO     | src.data.loader                          | Row count        : PASSED ✓
2026-06-17 16:45:28 | INFO     | src.data.loader                          | Column count     : PASSED ✓
2026-06-17 16:45:28 | INFO     | src.data.loader                          | All 56 columns present : PASSED ✓
2026-06-17 16:45:28 | INFO     | src.data.loader                          | Checking missing values …
2026-06-17 16:45:29 | INFO     | src.data.loader                          | Missing values   : NONE — dataset is complete ✓
2026-06-17 16:45:29 | INFO     | src.data.loader                          | Target column validation : PASSED ✓
2026-06-17 16:45:29 | INFO     | src.data.loader                          |   label=0  Phishing   :    100,945  (42.81%)
2026-06-17 16:45:29 | INFO     | src.data.loader                          |   label=1  Legitimate :    134,850  (57.19%)
2026-06-17 16:45:29 | INFO     | src.data.loader                          |   Class ratio (0/1)   : 0.748572
2026-06-17 16:45:29 | INFO     | src.data.loader                          | Data type summary:
2026-06-17 16:45:29 | INFO     | src.data.loader                          |   float64     :  10 columns
2026-06-17 16:45:29 | INFO     | src.data.loader                          |   int64       :  41 columns
2026-06-17 16:45:29 | INFO     | src.data.loader                          |   str         :   5 columns
2026-06-17 16:45:29 | INFO     | src.data.loader                          | ============================================================
2026-06-17 16:45:29 | INFO     | src.data.loader                          | VALIDATION COMPLETE
2026-06-17 16:45:29 | INFO     | src.data.loader                          | ============================================================
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Detecting duplicates on column: 'URL'
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Total rows          : 235,795
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Unique URLs         : 235,370
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Duplicate rows found: 425
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Class distribution inside duplicates:
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         |   label=0 Phishing   : 425
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         |   label=1 Legitimate : 0
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Removing duplicates (keep='first') …
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Rows removed        : 425
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Rows retained       : 235,370
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         | Class distribution [pre-dedup]:
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         |   Total samples        : 235,795
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         |   label=0 Phishing     : 100,945 (42.81%)
2026-06-17 16:45:30 | INFO     | src.data.cleaner                         |   label=1 Legitimate   : 134,850    (57.19%)
