feature,importance
LineOfCode,3.1262129001600267
LetterRatioInURL,3.1048911479569297
IsHTTPS,2.8113624423132753
NoOfDegitsInURL,2.3494561630068835
DomainLength,2.112850030091328
NoOfSelfRef,1.5422842127339302
NoOfOtherSpecialCharsInURL,1.3091852558115857
LargestLineLength,1.290841123443338
NoOfExternalRef,1.164674025397665
SpacialCharRatioInURL,1.0434128407738796
NoOfImage,0.9451354602696127
ContentComplexityScore,0.7380378947502257
NoOfJS,0.7017990909161842
HasSocialNet,0.6266316943017978
HasDescription,0.6222995826958543
TrustBadgeScore,0.5847082948905714
URLCharProb,0.5490295906098058
SubdomainRatio,0.41619979644658067
DomainTitleMatchScore,0.4155113447440675
HasCopyrightInfo,0.3829227612410971
CharContinuationRate,0.31187517426585964
NoOfSubDomain,0.2703594035893942
HasHiddenFields,0.2405514301328483
TLD,0.19439481528961897
NoOfEmptyRef,0.19379744226609505
NoOfiFrame,0.18919097885512443
NoOfCSS,0.17277215198646342
TLDLegitimateProb,0.17106414331513764
NoOfLettersInURL,0.1584289343982544
IsResponsive,0.15114587853627512
URLLength,0.14952014853454398
Robots,0.14590771664040217
Bank,0.1443444998059929
Pay,0.10613782633506821
FormDangerIndex,0.10244220008895283
NoOfURLRedirect,0.09860638660683968
HasFavicon,0.06586521285830522
TLDLength,0.06438815839616761
NoOfPopup,0.041162743006523166
HasExternalFormSubmit,0.03691765904098443
NoOfEqualsInURL,0.03469944069523155
RedirectActivity,0.03368866284605882
NoOfSelfRedirect,0.030727087464877796
DegitRatioInURL,0.026422383774799964
HasPasswordField,0.024298826719022983
Crypto,0.022113690305128778
NoOfAmpersandInURL,0.017797559040014087
HasSubmitButton,0.016449087700008882
TLD_is_gov_edu,0.009464141713212627
ExternalRefDensity,0.0056069241207473116
NoOfObfuscatedChar,0.004209992996947253
HasTitle,0.002415392772350797
NoOfQMarkInURL,0.0010128144492096613
HasObfuscation,0.0003799545040588412
IsDomainIP,2.683693383245351e-05
ObfuscationRatio,8.387789610141494e-07
