feature,metric,value
URLSimilarityIndex,feature,URLSimilarityIndex
URLSimilarityIndex,all_legit_100,True
URLSimilarityIndex,any_legit_ne100,False
URLSimilarityIndex,phishing_min,0.155574352
URLSimilarityIndex,phishing_mean,49.6515
URLSimilarityIndex,phishing_max,100.0
URLSimilarityIndex,phishing_std,22.5786
URLSimilarityIndex,legit_min,100.0
URLSimilarityIndex,legit_mean,100.0
URLSimilarityIndex,legit_max,100.0
URLSimilarityIndex,legit_std,0.0
URLSimilarityIndex,auroc,0.99609
URLSimilarityIndex,anova_f,670552.13
URLSimilarityIndex,anova_p,0.0
URLSimilarityIndex,n_phishing,100520
URLSimilarityIndex,n_legitimate,134850
IsHTTPS,feature,IsHTTPS
IsHTTPS,all_legit_https1,True
IsHTTPS,phishing_https_pct,49.12
IsHTTPS,legit_https_pct,100.0
IsHTTPS,auroc,0.754387
IsHTTPS,chi2,87650.99
IsHTTPS,chi2_p,0.0
IsHTTPS,n_phishing,100520
IsHTTPS,n_legitimate,134850
