feat_A,feat_B,abs_r
NoOfObfuscatedChar,NoOfDegitsInURL,0.7215180277817071
CharContinuationRate,SpacialCharRatioInURL,0.7117036440589055
URLCharProb,DegitRatioInURL,0.7084781089316565
NoOfSelfRef,NoOfExternalRef,0.7006127345463438
NoOfEqualsInURL,NoOfAmpersandInURL,0.6949944419439466
URLLength,NoOfEqualsInURL,0.6854317754641788
URLSimilarityIndex,HasSocialNet,0.6733494081249208
NoOfDegitsInURL,NoOfAmpersandInURL,0.657783024538403
NoOfLettersInURL,NoOfOtherSpecialCharsInURL,0.6523131902781442
NoOfLettersInURL,NoOfDegitsInURL,0.6481544346524913
URLSimilarityIndex,HasCopyrightInfo,0.6134992320456895
HasSocialNet,HasCopyrightInfo,0.6071169601968431
URLSimilarityIndex,SpacialCharRatioInURL,0.60466395251395
URLSimilarityIndex,DomainTitleMatchScore,0.6034448389179821
URLSimilarityIndex,HasDescription,0.5900417505650538
SpacialCharRatioInURL,DomainTitleMatchScore,0.5875480973784101
HasDescription,HasSocialNet,0.5767382848702526
DomainLength,CharContinuationRate,0.5764105709981237
URLSimilarityIndex,CharContinuationRate,0.5725356109978252
URLSimilarityIndex,URLCharProb,0.5713626900085912
NoOfObfuscatedChar,NoOfOtherSpecialCharsInURL,0.5662882403841105
URLSimilarityIndex,DegitRatioInURL,0.5612882059772661
HasDescription,HasCopyrightInfo,0.5527219031256635
CharContinuationRate,DomainTitleMatchScore,0.5507161866882149
HasSubmitButton,HasHiddenFields,0.5500616293194655
DomainLength,LetterRatioInURL,0.5483409579412488
URLSimilarityIndex,NoOfOtherSpecialCharsInURL,0.5399774749751216
NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,0.5385386131482099
NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,0.5288144281228341
NoOfURLRedirect,NoOfSelfRedirect,0.5212150898634897
HasSubmitButton,HasCopyrightInfo,0.5138880857972521
HasSocialNet,HasSubmitButton,0.50818102407097
URLLength,NoOfAmpersandInURL,0.5006248981475694
