dimension,group,feature,global_rank,group_rank,rank_shift,mean_abs_shap
url_length,Long (>31),LetterRatioInURL,1,1,0,3.0768426966416347
url_length,Long (>31),LineOfCode,2,2,0,3.0684658179653024
url_length,Long (>31),IsHTTPS,3,3,0,2.879801498469779
url_length,Long (>31),NoOfDegitsInURL,4,4,0,2.259614366168635
url_length,Long (>31),DomainLength,5,5,0,2.1046421473456314
url_length,Long (>31),NoOfSelfRef,6,6,0,1.5217187589428411
url_length,Long (>31),LargestLineLength,8,7,1,1.3609644078443435
url_length,Long (>31),NoOfOtherSpecialCharsInURL,7,8,-1,1.3053782541552872
url_length,Long (>31),NoOfExternalRef,9,9,0,1.1683667854032038
url_length,Long (>31),SpacialCharRatioInURL,10,10,0,1.027006390777411
url_length,Long (>31),NoOfImage,11,11,0,0.9449849994214469
url_length,Long (>31),ContentComplexityScore,12,12,0,0.7408486954216146
url_length,Long (>31),NoOfJS,13,13,0,0.707951695481299
url_length,Long (>31),HasSocialNet,15,14,1,0.622151075800576
url_length,Long (>31),HasDescription,14,15,-1,0.6155834804557446
url_length,Long (>31),TrustBadgeScore,16,16,0,0.6030486140532049
url_length,Long (>31),URLCharProb,17,17,0,0.5465443977617668
url_length,Long (>31),DomainTitleMatchScore,18,18,0,0.4149705604958091
url_length,Long (>31),SubdomainRatio,19,19,0,0.3808979244832919
url_length,Long (>31),HasCopyrightInfo,20,20,0,0.37963472630308615
url_length,Medium (25-31),LetterRatioInURL,1,1,0,3.330149938232052
url_length,Medium (25-31),LineOfCode,2,2,0,3.1626659242814794
url_length,Medium (25-31),IsHTTPS,3,3,0,2.927542469244528
url_length,Medium (25-31),NoOfDegitsInURL,4,4,0,2.419436938904483
url_length,Medium (25-31),DomainLength,5,5,0,2.15712368124603
url_length,Medium (25-31),NoOfSelfRef,6,6,0,1.5552509224220012
url_length,Medium (25-31),NoOfOtherSpecialCharsInURL,7,7,0,1.327393257982722
url_length,Medium (25-31),LargestLineLength,8,8,0,1.2401963872472552
url_length,Medium (25-31),NoOfExternalRef,9,9,0,1.1525131257132133
url_length,Medium (25-31),SpacialCharRatioInURL,10,10,0,1.0515404453023451
url_length,Medium (25-31),NoOfImage,11,11,0,0.921939384322206
url_length,Medium (25-31),ContentComplexityScore,12,12,0,0.7299173795509887
url_length,Medium (25-31),NoOfJS,13,13,0,0.7031711507175578
url_length,Medium (25-31),HasSocialNet,15,14,1,0.6263073823529763
url_length,Medium (25-31),HasDescription,14,15,-1,0.6249877890216627
url_length,Medium (25-31),TrustBadgeScore,16,16,0,0.5833989316012873
url_length,Medium (25-31),URLCharProb,17,17,0,0.5626927593074089
url_length,Medium (25-31),SubdomainRatio,19,18,1,0.4236696956382163
url_length,Medium (25-31),DomainTitleMatchScore,18,19,-1,0.41511790839939655
url_length,Medium (25-31),HasCopyrightInfo,20,20,0,0.38258225424879944
url_length,Short (≤25),LineOfCode,2,1,1,3.1456391023802186
url_length,Short (≤25),LetterRatioInURL,1,2,-1,2.9357741417263004
url_length,Short (≤25),IsHTTPS,3,3,0,2.6512269204429915
url_length,Short (≤25),NoOfDegitsInURL,4,4,0,2.3682650757554717
url_length,Short (≤25),DomainLength,5,5,0,2.081980999677056
url_length,Short (≤25),NoOfSelfRef,6,6,0,1.5492156204733465
url_length,Short (≤25),NoOfOtherSpecialCharsInURL,7,7,0,1.296869460879904
url_length,Short (≤25),LargestLineLength,8,8,0,1.2727394052867549
url_length,Short (≤25),NoOfExternalRef,9,9,0,1.1718881255048985
url_length,Short (≤25),SpacialCharRatioInURL,10,10,0,1.0508495602997117
url_length,Short (≤25),NoOfImage,11,11,0,0.9652227637757652
url_length,Short (≤25),ContentComplexityScore,12,12,0,0.7425517981941809
url_length,Short (≤25),NoOfJS,13,13,0,0.6952078228530811
url_length,Short (≤25),HasSocialNet,15,14,1,0.630851180578023
url_length,Short (≤25),HasDescription,14,15,-1,0.6258934786760451
url_length,Short (≤25),TrustBadgeScore,16,16,0,0.5697052746758552
url_length,Short (≤25),URLCharProb,17,17,0,0.5394611301527461
url_length,Short (≤25),SubdomainRatio,19,18,1,0.44081994043025635
url_length,Short (≤25),DomainTitleMatchScore,18,19,-1,0.4163254016095935
url_length,Short (≤25),HasCopyrightInfo,20,20,0,0.38610735962653336
https,HTTPS,LineOfCode,2,1,1,3.1290457581337945
https,HTTPS,LetterRatioInURL,1,2,-1,3.0460236352702434
https,HTTPS,IsHTTPS,3,3,0,2.791731518271158
https,HTTPS,NoOfDegitsInURL,4,4,0,2.365827859927783
https,HTTPS,DomainLength,5,5,0,2.0517172705206486
https,HTTPS,NoOfSelfRef,6,6,0,1.5423634484492812
https,HTTPS,NoOfOtherSpecialCharsInURL,7,7,0,1.3132490387430285
https,HTTPS,LargestLineLength,8,8,0,1.2923751372497991
https,HTTPS,NoOfExternalRef,9,9,0,1.1477222764795718
https,HTTPS,SpacialCharRatioInURL,10,10,0,1.0521533182359617
https,HTTPS,NoOfImage,11,11,0,0.9405755278022983
https,HTTPS,ContentComplexityScore,12,12,0,0.7328020233036223
https,HTTPS,NoOfJS,13,13,0,0.6984810029828298
https,HTTPS,HasSocialNet,15,14,1,0.6261636670987563
https,HTTPS,HasDescription,14,15,-1,0.6243708784664871
https,HTTPS,TrustBadgeScore,16,16,0,0.5807759459292119
https,HTTPS,URLCharProb,17,17,0,0.5395765470930195
https,HTTPS,SubdomainRatio,19,18,1,0.4161510358180417
https,HTTPS,DomainTitleMatchScore,18,19,-1,0.4158702793687236
https,HTTPS,HasCopyrightInfo,20,20,0,0.38277600104161624
https,Non-HTTPS,LetterRatioInURL,1,1,0,3.3160580971357505
https,Non-HTTPS,LineOfCode,2,2,0,3.116050996786217
https,Non-HTTPS,IsHTTPS,3,3,0,2.8817816285559497
https,Non-HTTPS,DomainLength,5,4,1,2.3321427731384285
https,Non-HTTPS,NoOfDegitsInURL,4,5,-1,2.290728332767705
https,Non-HTTPS,NoOfSelfRef,6,6,0,1.5419999818650718
https,Non-HTTPS,NoOfOtherSpecialCharsInURL,7,7,0,1.2946078326354775
https,Non-HTTPS,LargestLineLength,8,8,0,1.285338376669702
https,Non-HTTPS,NoOfExternalRef,9,9,0,1.2254825926176285
https,Non-HTTPS,SpacialCharRatioInURL,10,10,0,1.0120593849236446
https,Non-HTTPS,NoOfImage,11,11,0,0.9614926492119951
https,Non-HTTPS,ContentComplexityScore,12,12,0,0.7568197822330007
https,Non-HTTPS,NoOfJS,13,13,0,0.7137015898330691
https,Non-HTTPS,HasSocialNet,15,14,1,0.6283105808741761
https,Non-HTTPS,HasDescription,14,15,-1,0.6148695217204512
https,Non-HTTPS,TrustBadgeScore,16,16,0,0.5988142439171116
https,Non-HTTPS,URLCharProb,17,17,0,0.5829391320324036
https,Non-HTTPS,SubdomainRatio,19,18,1,0.4163747084260159
https,Non-HTTPS,DomainTitleMatchScore,18,19,-1,0.4142237902648017
https,Non-HTTPS,HasCopyrightInfo,20,20,0,0.3834492129658291
tld,app,IsHTTPS,3,1,2,3.1376812972246375
tld,app,LetterRatioInURL,1,2,-1,3.1055226405198453
tld,app,LineOfCode,2,3,-1,2.930159932071728
tld,app,NoOfDegitsInURL,4,4,0,1.9399454239226543
tld,app,DomainLength,5,5,0,1.9116255845887729
tld,app,NoOfSelfRef,6,6,0,1.51071300513601
tld,app,LargestLineLength,8,7,1,1.454588548469569
tld,app,NoOfExternalRef,9,8,1,1.1398310018367506
tld,app,NoOfOtherSpecialCharsInURL,7,9,-2,1.1381121976856101
tld,app,SpacialCharRatioInURL,10,10,0,1.1343270535067946
tld,app,NoOfImage,11,11,0,0.8335645835023386
tld,app,NoOfJS,13,12,1,0.755349513710006
tld,app,ContentComplexityScore,12,13,-1,0.7075584406382845
tld,app,HasDescription,14,14,0,0.6662969055341122
tld,app,HasSocialNet,15,15,0,0.630160593626104
tld,app,URLCharProb,17,16,1,0.4976114919813125
tld,app,TrustBadgeScore,16,17,-1,0.46245396476523404
tld,app,DomainTitleMatchScore,18,18,0,0.39324525056223714
tld,app,HasCopyrightInfo,20,19,1,0.3744098632966676
tld,app,SubdomainRatio,19,20,-1,0.3682187412213772
tld,au,LineOfCode,2,1,1,3.7793723876577103
tld,au,IsHTTPS,3,2,1,3.617561966211934
tld,au,LetterRatioInURL,1,3,-2,2.5664336106237533
tld,au,DomainLength,5,4,1,2.1535143399244165
tld,au,NoOfDegitsInURL,4,5,-1,1.8649408813709347
tld,au,NoOfSelfRef,6,6,0,1.6297786037124644
tld,au,NoOfOtherSpecialCharsInURL,7,7,0,1.406620464662416
tld,au,SpacialCharRatioInURL,10,8,2,1.2498603645121165
tld,au,NoOfImage,11,9,2,1.1274903097449436
tld,au,NoOfExternalRef,9,10,-1,1.0799608165286412
tld,au,LargestLineLength,8,11,-3,0.8726026923654766
tld,au,ContentComplexityScore,12,12,0,0.8032591805106793
tld,au,HasSocialNet,15,13,2,0.630160593626104
tld,au,NoOfJS,13,14,-1,0.594067180665408
tld,au,HasDescription,14,15,-1,0.5880794427105426
tld,au,SubdomainRatio,19,16,3,0.46104977527846147
tld,au,TrustBadgeScore,16,17,-1,0.45597960925852077
tld,au,NoOfSubDomain,23,18,5,0.4230976581993649
tld,au,CharContinuationRate,21,19,2,0.4204571324889715
tld,au,DomainTitleMatchScore,18,20,-2,0.4168515702549277
tld,co,LineOfCode,2,1,1,3.4859471381195486
tld,co,LetterRatioInURL,1,2,-1,2.901201281755211
tld,co,IsHTTPS,3,3,0,2.7454711350715573
tld,co,NoOfDegitsInURL,4,4,0,2.021622452859721
tld,co,DomainLength,5,5,0,1.8539507493001106
tld,co,NoOfSelfRef,6,6,0,1.8147169223507167
tld,co,NoOfOtherSpecialCharsInURL,7,7,0,1.276336240221749
tld,co,NoOfExternalRef,9,8,1,1.224942469153065
tld,co,LargestLineLength,8,9,-1,1.1359927855284822
tld,co,SpacialCharRatioInURL,10,10,0,1.1078450591427158
tld,co,NoOfImage,11,11,0,0.985719977848155
tld,co,ContentComplexityScore,12,12,0,0.7474869670372707
tld,co,HasDescription,14,13,1,0.6863526652324634
tld,co,NoOfJS,13,14,-1,0.6505632928410255
tld,co,HasSocialNet,15,15,0,0.6340385049714953
tld,co,TrustBadgeScore,16,16,0,0.5563676929944815
tld,co,URLCharProb,17,17,0,0.5344142759259247
tld,co,SubdomainRatio,19,18,1,0.43660801752975825
tld,co,DomainTitleMatchScore,18,19,-1,0.4262985614623717
tld,co,HasCopyrightInfo,20,20,0,0.3902418593155099
tld,com,LetterRatioInURL,1,1,0,3.1621841132819313
tld,com,LineOfCode,2,2,0,3.0673509714067397
tld,com,IsHTTPS,3,3,0,2.838374282031509
tld,com,NoOfDegitsInURL,4,4,0,2.3912490513543583
tld,com,DomainLength,5,5,0,2.158308489672999
tld,com,NoOfSelfRef,6,6,0,1.5405446526794306
tld,com,LargestLineLength,8,7,1,1.332061601308606
tld,com,NoOfOtherSpecialCharsInURL,7,8,-1,1.2972340348476534
tld,com,NoOfExternalRef,9,9,0,1.1475770130906668
