feature,mean_abs_shap,rank,relative_importance
LetterRatioInURL,3.04697616,1,0.10511
LineOfCode,3.0327142,2,0.104618
IsHTTPS,2.68394028,3,0.092587
NoOfDegitsInURL,2.50846086,4,0.086533
DomainLength,2.05493577,5,0.070888
NoOfSelfRef,1.53215286,6,0.052854
NoOfOtherSpecialCharsInURL,1.31348741,7,0.045311
LargestLineLength,1.30580091,8,0.045046
NoOfExternalRef,1.17965654,9,0.040694
SpacialCharRatioInURL,1.07362488,10,0.037036
NoOfImage,0.92986561,11,0.032077
ContentComplexityScore,0.71756659,12,0.024754
NoOfJS,0.69716971,13,0.02405
HasDescription,0.63637631,14,0.021953
HasSocialNet,0.63111004,15,0.021771
TrustBadgeScore,0.58420268,16,0.020153
URLCharProb,0.552977,17,0.019076
DomainTitleMatchScore,0.41381994,18,0.014275
SubdomainRatio,0.40986865,19,0.014139
HasCopyrightInfo,0.38247318,20,0.013194
CharContinuationRate,0.31479404,21,0.010859
HasHiddenFields,0.25361626,22,0.008749
NoOfSubDomain,0.23159896,23,0.007989
TLD,0.20187876,24,0.006964
NoOfiFrame,0.19565624,25,0.006749
NoOfEmptyRef,0.19297713,26,0.006657
NoOfCSS,0.17502658,27,0.006038
TLDLegitimateProb,0.17111411,28,0.005903
Robots,0.16235241,29,0.005601
NoOfLettersInURL,0.1539786,30,0.005312
Bank,0.15260257,31,0.005264
IsResponsive,0.15157094,32,0.005229
URLLength,0.14812594,33,0.00511
Pay,0.10688498,34,0.003687
FormDangerIndex,0.10576342,35,0.003648
NoOfURLRedirect,0.096122,36,0.003316
HasFavicon,0.07103979,37,0.002451
NoOfPopup,0.06718393,38,0.002318
TLDLength,0.05856765,39,0.00202
HasExternalFormSubmit,0.05263133,40,0.001816
NoOfEqualsInURL,0.05138811,41,0.001773
RedirectActivity,0.02989944,42,0.001031
DegitRatioInURL,0.02907112,43,0.001003
HasPasswordField,0.02304536,44,0.000795
NoOfAmpersandInURL,0.02261773,45,0.00078
Crypto,0.02187746,46,0.000755
NoOfSelfRedirect,0.01892111,47,0.000653
HasSubmitButton,0.01690262,48,0.000583
TLD_is_gov_edu,0.01083882,49,0.000374
ExternalRefDensity,0.00536216,50,0.000185
NoOfObfuscatedChar,0.00336799,51,0.000116
HasTitle,0.00228868,52,7.9e-05
NoOfQMarkInURL,0.00166311,53,5.7e-05
HasObfuscation,0.00037995,54,1.3e-05
IsDomainIP,7.157e-05,55,2e-06
ObfuscationRatio,8.6e-07,56,0.0
